RowNumber,ISIN,TradingSymbolMap,ISINmap,InstrumentMap,count,maxdate,mindate,Exist20160930
1,DE000A1EWWW0,ADS,DE000A1EWWW0,ADIDAS AG NA O.N.,3036,2016-09-30,2010-10-11,1
2,DE0005003404,ADS,DE000A1EWWW0,ADIDAS AG NA O.N.,12,2010-10-08,2010-10-01,1
3,DE0008404005,ALV,DE0008404005,ALLIANZ SE NA O.N.,84,2016-09-30,2016-08-04,1
5,DE000BASF111,BAS,DE000BASF111,BASF SE NA O.N.,3048,2016-09-30,2010-10-01,1
7,DE000BAY0017,BAYN,DE000BAY0017,BAYER AG  NA,2964,2016-08-03,2010-10-01,1
9,DE0005200000,BEI,DE0005200000,BEIERSDORF AG O.N.,3048,2016-09-30,2010-10-01,1
6,DE0005190003,BMW,DE0005190003,BAY.MOTOREN WERKE AG ST,3048,2016-09-30,2010-10-01,1
10,DE000CBK1001,CBK,DE000CBK1001,COMMERZBANK AG,1726,2016-09-30,2013-05-07,1
13,DE0008032004,CBK,DE000CBK1001,COMMERZBANK AG,1306,2013-04-23,2010-10-01,1
14,DE0005439004,CON,DE0005439004,CONTINENTAL AG O.N.,2032,2016-09-30,2012-09-24,1
15,DE0007100000,DAI,DE0007100000,DAIMLER AG NA O.N.,3048,2016-09-30,2010-10-01,1
19,DE000A2AA253,DB1,DE0005810055,DEUTSCHE BOERSE NA O.N.,110,2016-09-30,2016-07-18,1
17,DE0005810055,DB1,DE0005810055,DEUTSCHE BOERSE NA O.N.,2650,2016-07-15,2010-10-01,1
18,DE000A1KRND6,DB1,DE0005810055,DEUTSCHE BOERSE NA O.N.,288,2012-02-07,2011-07-20,1
16,DE0005140008,DBK,DE0005140008,DEUTSCHE BANK AG NA O.N.,3048,2016-09-30,2010-10-01,1
20,DE0005552004,DPW,DE0005552004,DEUTSCHE POST AG NA O.N.,3048,2016-09-30,2010-10-01,1
21,DE0005557508,DTE,DE0005557508,DT.TELEKOM AG NA,3048,2016-09-30,2010-10-01,1
22,DE000ENAG999,EOAN,DE000ENAG999,E.ON AG NA,1100,2012-11-20,2010-10-01,1
25,DE0005785802,FME,DE0005785802,FRESEN.MED.CARE KGAA O.N.,1648,2016-09-30,2013-07-01,1
28,DE0005785604,FRE,DE0005785604,FRESENIUS SE+CO.KGAA O.N.,2880,2016-09-30,2011-01-31,1
27,DE0005785638,FRE,DE0005785604,FRESENIUS SE+CO.KGAA O.N.,168,2011-01-28,2010-10-01,1
29,DE0006047004,HEI,DE0006047004,HEIDELBERGCEMENT AG O.N.,3048,2016-09-30,2010-10-01,1
30,DE0006048432,HEN3,DE0006048432,HENKEL AG+CO.KGAA VZO,3048,2016-09-30,2010-10-01,1
31,DE0006231004,IFX,DE0006231004,INFINEON TECH.AG NA O.N.,3048,2016-09-30,2010-10-01,1
37,DE0008232125,LHA,DE0008232125,LUFTHANSA AG VNA O.N.,3048,2016-09-30,2010-10-01,1
36,DE0006483001,LIN,DE0006483001,LINDE AG O.N.,3048,2016-09-30,2010-10-01,1
35,DE0005470405,LXS,DE0005470405,LANXESS AG,1508,2015-09-18,2012-09-24,0
38,DE0005937007,MAN,DE0005937007,MAN SE ST O.N.,1016,2012-09-21,2010-10-01,0
40,DE0007257503,MEO,DE0007257503,METRO AG ST O.N.,1016,2012-09-21,2010-10-01,0
39,DE0006599905,MRK,DE0006599905,MERCK KGAA O.N.,3048,2016-09-30,2010-10-01,1
41,DE0008430026,MUV2,DE0008430026,MUENCH.RUECKVERS.VNA O.N.,3048,2016-09-30,2010-10-01,1
42,DE000LED4000,OSR,DE000LED4000,OSRAM LICHT AG NA O.N.,2,2013-07-08,2013-07-08,0
43,DE000PSM7770,PSM,DE000PSM7770,PROSIEBENSAT.1  NA O.N.,272,2016-09-30,2016-03-21,1
44,DE0007037129,RWE,DE0007037129,RWE AG ST O.N.,3048,2016-09-30,2010-10-01,1
46,DE0007164600,SAP,DE0007164600,SAP SE O.N.,1126,2016-09-30,2014-07-11,1
32,DE000KSAG888,SDF,DE000KSAG888,K+S AG NA O.N.,2340,2016-03-18,2011-08-09,0
34,DE0007162000,SDF,DE000KSAG888,K+S AG NA O.N.,434,2011-08-05,2010-10-01,0
47,DE0007236101,SIE,DE0007236101,SIEMENS AG NA,3048,2016-09-30,2010-10-01,1
48,DE0007500001,TKA,DE0007500001,THYSSENKRUPP AG O.N.,3048,2016-09-30,2010-10-01,1
49,DE000UNSE018,UN01,DE000UNSE018,UNIPER SE NA.,2,2016-09-12,2016-09-12,0
51,DE000A1ML7J1,VNA,DE000A1ML7J1,VONOVIA SE NA O.N.,524,2016-09-30,2015-09-21,1
50,DE0007664039,VOW3,DE0007664039,VOLKSWAGEN AG VZO O.N.,3048,2016-09-30,2010-10-01,1
