"";"TradingSymbol";"ISIN";"Instrument";"count";"maxdate";"mindate";"Exist20160930"
"1";"ADS";"DE000A1EWWW0";"ADIDAS AG NA O.N.";3036;2016-09-30;2010-10-11;1
"2";"ADS";"DE0005003404";"ADIDAS AG O.N.";12;2010-10-08;2010-10-01;1
"3";"ALV";"DE0008404005";"ALLIANZ SE NA O.N.";84;2016-09-30;2016-08-04;1
"4";"ALV";"DE0008404005";"ALLIANZ SE VNA O.N.";2964;2016-08-03;2010-10-01;1
"5";"BAS";"DE000BASF111";"BASF SE NA O.N.";3048;2016-09-30;2010-10-01;1
"6";"BMW";"DE0005190003";"BAY.MOTOREN WERKE AG ST";3048;2016-09-30;2010-10-01;1
"7";"BAYN";"DE000BAY0017";"BAYER AG  NA";2964;2016-08-03;2010-10-01;1
"8";"BAYN";"DE000BAY0017";"BAYER AG NA O.N.";84;2016-09-30;2016-08-04;1
"9";"BEI";"DE0005200000";"BEIERSDORF AG O.N.";3048;2016-09-30;2010-10-01;1
"10";"CBK";"DE000CBK1001";"COMMERZBANK AG";1726;2016-09-30;2013-05-07;1
"11";"CBK";"DE000CBK1001";"COMMERZBANK AG  KONV.";14;2013-05-06;2013-04-25;1
"12";NA;"DE000CBK1001";"COMMERZBANK AG  KONV.";2;2013-04-24;2013-04-24;NA
"13";"CBK";"DE0008032004";"COMMERZBANK AG O.N.";1306;2013-04-23;2010-10-01;1
"14";"CON";"DE0005439004";"CONTINENTAL AG O.N.";2032;2016-09-30;2012-09-24;1
"15";"DAI";"DE0007100000";"DAIMLER AG NA O.N.";3048;2016-09-30;2010-10-01;1
"16";"DBK";"DE0005140008";"DEUTSCHE BANK AG NA O.N.";3048;2016-09-30;2010-10-01;1
"17";"DB1";"DE0005810055";"DEUTSCHE BOERSE NA O.N.";2650;2016-07-15;2010-10-01;NA
"18";"63DU";"DE000A1KRND6";"DEUTSCHE BOERSE Z.UMT.";288;2012-02-07;2011-07-20;NA
"19";"DB11";"DE000A2AA253";"DEUTSCHE BOERSE Z.UMT.";110;2016-09-30;2016-07-18;1
"20";"DPW";"DE0005552004";"DEUTSCHE POST AG NA O.N.";3048;2016-09-30;2010-10-01;1
"21";"DTE";"DE0005557508";"DT.TELEKOM AG NA";3048;2016-09-30;2010-10-01;1
"22";"EOAN";"DE000ENAG999";"E.ON AG NA";1100;2012-11-20;2010-10-01;1
"23";"EOAN";"DE000ENAG999";"E.ON SE NA";1864;2016-08-03;2012-11-21;1
"24";"EOAN";"DE000ENAG999";"E.ON SE NA O.N.";84;2016-09-30;2016-08-04;1
"25";"FME";"DE0005785802";"FRESEN.MED.CARE KGAA O.N.";1648;2016-09-30;2013-07-01;1
"26";"FME";"DE0005785802";"FRESEN.MED.CARE KGAA ST";1400;2013-06-28;2010-10-01;1
"27";"FRE3";"DE0005785638";"FRESENIUS SE VZ O.ST O.N.";168;2011-01-28;2010-10-01;NA
"28";"FRE";"DE0005785604";"FRESENIUS SE+CO.KGAA O.N.";2880;2016-09-30;2011-01-31;1
"29";"HEI";"DE0006047004";"HEIDELBERGCEMENT AG O.N.";3048;2016-09-30;2010-10-01;1
"30";"HEN3";"DE0006048432";"HENKEL AG+CO.KGAA VZO";3048;2016-09-30;2010-10-01;1
"31";"IFX";"DE0006231004";"INFINEON TECH.AG NA O.N.";3048;2016-09-30;2010-10-01;1
"32";"SDF";"DE000KSAG888";"K+S AG NA O.N.";2340;2016-03-18;2011-08-09;NA
"33";NA;"DE000KSAG888";"K+S AG NA O.N.";2;2011-08-08;2011-08-08;NA
"34";"SDF";"DE0007162000";"K+S AG O.N.";434;2011-08-05;2010-10-01;NA
"35";"LXS";"DE0005470405";"LANXESS AG";1508;2015-09-18;2012-09-24;NA
"36";"LIN";"DE0006483001";"LINDE AG O.N.";3048;2016-09-30;2010-10-01;1
"37";"LHA";"DE0008232125";"LUFTHANSA AG VNA O.N.";3048;2016-09-30;2010-10-01;1
"38";"MAN";"DE0005937007";"MAN SE ST O.N.";1016;2012-09-21;2010-10-01;NA
"39";"MRK";"DE0006599905";"MERCK KGAA O.N.";3048;2016-09-30;2010-10-01;1
"40";"MEO";"DE0007257503";"METRO AG ST O.N.";1016;2012-09-21;2010-10-01;NA
"41";"MUV2";"DE0008430026";"MUENCH.RUECKVERS.VNA O.N.";3048;2016-09-30;2010-10-01;1
"42";"OSR";"DE000LED4000";"OSRAM LICHT AG NA O.N.";2;2013-07-08;2013-07-08;NA
"43";"PSM";"DE000PSM7770";"PROSIEBENSAT.1  NA O.N.";272;2016-09-30;2016-03-21;1
"44";"RWE";"DE0007037129";"RWE AG ST O.N.";3048;2016-09-30;2010-10-01;1
"45";"SAP";"DE0007164600";"SAP AG O.N.";1922;2014-07-10;2010-10-01;1
"46";"SAP";"DE0007164600";"SAP SE O.N.";1126;2016-09-30;2014-07-11;1
"47";"SIE";"DE0007236101";"SIEMENS AG NA";3048;2016-09-30;2010-10-01;1
"48";"TKA";"DE0007500001";"THYSSENKRUPP AG O.N.";3048;2016-09-30;2010-10-01;1
"49";"UN01";"DE000UNSE018";"UNIPER SE NA.";2;2016-09-12;2016-09-12;NA
"50";"VOW3";"DE0007664039";"VOLKSWAGEN AG VZO O.N.";3048;2016-09-30;2010-10-01;1
"51";"VNA";"DE000A1ML7J1";"VONOVIA SE NA O.N.";524;2016-09-30;2015-09-21;1
